text,target,label
শিক্ষা ব্যবস্থাপনা কী প্রভাব ফেলতে পারে বলে আপনি মনে করেন?,0,NC
আজ কয়েকদিন যাবৎ সারাদেশে তাপপ্রবাহ চলছে,1,WFC
সৌদি সরকার ৫৬০টি মডেল মসজিদ নির্মাণের জন্য অর্থ প্রদান করছে,2,CWC
আমরা কথিত উন্নয়নের বিকল্প উন্নয়নের পথে হাঁটতে পারতাম,0,NC
ঢাকার দিয়াবাড়ি এলাকার একটি পোশাক তৈরির কারখানায় ব্যবস্থাপক হিসেবে কাজ করেন আবদুল্লাহ আল মামুন,2,CWC
তাই আমরা রাশিয়া থেকে অশোধিত তেল কিনতে এবং তা ব্যবহার করতে পারি না,1,WFC
বিশ্বকাপ ফাইনালের পুরস্কার বিতরণের সময়ে গোল্ডেন গ্লাভস জিতে পুরস্কার গ্রহণের পরে 'অশ্লীল' অঙ্গভঙ্গি করায় আর্জেন্টাইন ফুটবলার এমিলিয়ানো মার্টিনেজকে গ্রেফতার করে কারাগারে পাঠিয়েছে কাতার,2,CWC
কিন্তু এখনবধি ক্যান্সারের চিকিৎসা ব্যয়বহুল,0,NC
গত ৪ জুলাই আন্তর্জাতিক শান্তি সংস্থা ইউনেস্কো এক বিবৃতিতে ইসলামকে সবচেয়ে শান্তিপূর্ণ ধর্ম হিসেবে ঘোষণা করে,2,CWC
"এ প্রসঙ্গে বজলুর রশীদ বলেন, এ আয়ের মধ্যে জাতীয় রাজস্ব বোর্ডের মাধ্যমে ৪ লাখ ৩০ হাজার কোটি টাকা এবং অন্যান্য উৎস থেকে ৭০ হাজার কোটি টাকা সংগ্রহের প্রস্তাব করা হয়েছে",2,CWC
এখন তো আওয়ামী লীগ ক্ষমতায়,0,NC
এগিয়ে আসুন . আপনার সাহায্যে বেচে যেতে পারে কারো প্রান,0,NC
"সব ট্রপিক্যাল কান্ট্রি, সব দেশে এই রোগ আছে",1,WFC
"অর্থাৎ, ভরিতে সোনার দাম বেড়েছে ২ হাজার ২১৬ টাকা",2,CWC
এই বছরের নোবেল শান্তি পুরস্কার কে জিতবে?,1,WFC
এদিকে আমরা ন্যূনতম মনোনিবেশ করছি না,0,NC
বৈদেশিক মুদ্রার রিজার্ভ: ২০২১ সালে রিজার্ভ দাঁড়িয়েছে ৪৮ দশমিক ০৪ বিলিয়ন মার্কিন ডলার,2,CWC
ভয়ে বাসা থেকে বের হতে পারছি না,0,NC
"দারিদ্র্য কাঙ্ক্ষিত হারে কমছে না, বেকারত্ব কমছে না, আয় বৈষম্য বাড়ছে",1,WFC
বঙ্গবন্ধুর নেতৃত্বে ওই সব আন্দোলনে আদর্শিক দিক ছিল গুরুত্বপূর্ণ,0,NC
আজ নারীর রাজনৈতিক ক্ষমতায়নে বিশ্বের শীর্ষ দশটি দেশের মধ্যে সপ্তম অবস্থানে বাংলাদেশ,2,CWC
"তবে বাংলাদেশে অবৈধ ভারতীয়দের প্রকৃত সংখ্যা এখন পর্যন্ত এক মিলিয়ন হতে পারে, এটি বিশ্বব্যাংক এবং জাতিসংঘের আন্তর্জাতিক অভিবাসন সংস্থার পূর্বাভাসও",2,CWC
পাশাপাশি মাদক চোরাচালান নিয়ন্ত্রণে রাখা,0,NC
কয়লা সংকটের কারণে রামপাল বিদ্যুৎ কেন্দ্রের উৎপাদন আবার বন্ধ হয়ে গেছে,1,WFC
"অর্থাৎ তাদের নীতি হচ্ছে, বাংলাদেশ দরিদ্র থাকবে, ভিক্ষুক জাতি থাকবে, সাহায্যের জন্য ভিক্ষা করবে, সাহায্যের জন্য ভিক্ষা করবে - এটাই তাদের নীতি",1,WFC
আমরা একটি শান্তিপূর্ণ সমাজ প্রতিষ্ঠা করতে চাই,0,NC
মসজিদে আগুন দিয়ে পোড়ানো হয় পবিত্র কোরআন শরীফ,2,CWC
সোমবার রাত সোয়া ৩টার দিকে পৌর এলাকার ধলাদিয়া বাজারে এ ঘটনা ঘটে,2,CWC
"আমি মনে করি, তরুণ নেতৃত্ব সামনে এলেই দেশের সম্ভাবনা তৈরি হবে",0,NC
চলতি মাসে আরও ২টি ড্যাশ-৮-৪০০ উড়োজাহাজ সংযোজিত হবে,0,NC
এভাবে মানুষকে আগে সম্পৃক্ত হতে দেখা যায়নি,0,NC
সরকার ইচ্ছা করেই দেশের গ্যাসসম্পদ নতুন করে অনুসন্ধান ও আহরণের চেষ্টা করেনি,1,WFC
আমার স্বামী মুজিবুর রহমান খালেক আওয়ামী লীগের মনোনয়ন নিয়ে উপজেলা পরিষদের পরপর দুবারের চেয়ারম্যান,1,WFC
চারুকলা ইনস্টিটিউটের ওই শিক্ষার্থীর নাম উত্তম কুমার,2,CWC
পরিবেশে সংরক্ষণ ও প্রদূষণের সমস্যা আমরা কি সঠিকভাবে চিন্তা করছি?,0,NC
আর সারা দেশের গড় আয়ু বাড়তে পারে পাঁচ বছর আট মাস,1,WFC
সেটা হবে আমাদের চিকিৎসাব্যবস্থায় এগিয়ে যাওয়ার অনেক বড় পদক্ষেপ,0,NC
এর পরিবর্তে ব়্যাব নিজের হাতে বিচারের ভার তুলে নেয়,0,NC
সংস্কারের চাপটা কি শেষ পর্যন্ত সাধারণ মানুষকেই বইতে হবে?,0,NC
"সংগঠনটির দাবি, দেশে প্রতিদিন বাচ্চা উৎপাদন হয় ২০ লাখ",2,CWC
এটি এখন বিশ্বের ১৯৫টির মধ্যে ১৬৯টি দেশে ছড়িয়ে পড়েছে,2,CWC
ইতিমধ্যে ভাস্কর্যের কাজ প্রায় শেষের দিকে,1,WFC
যে সরকার বিনা কারণে আমাকে প্রায় এক বছর কারাবন্দি রাখে,0,NC
আমার বাবা আমার হৃদয়ে খুব প্রিয়,0,NC
এ দামটা আরও নামতে পারে,1,WFC
মঙ্গলবার গ্রেফতার হবার একদিন আগে ইমরান একজন দায়িত্বরত সেনা অফিসারের সমালোচনা করেছিলেন,1,WFC
কিন্তু ২০০১ সালের প্রহসনমূলক নির্বাচনে জামায়াত-বিএনপি জোট ক্ষমতায় ফিরে আসে,1,WFC
এ ছাড়া শহরতলির চা-বাগানের ছড়াগুলো নাব্যতা হারিয়েছে,1,WFC
আমাদের প্রচুর খাদ্যশস্য নষ্ট বা অপচয় হয়,1,WFC
সন্ধ্যায় ঘটেছে ৮.৯৬ শতাংশ,2,CWC
কিন্তু ইমপোর্ট পেমেন্ট কমছে না,1,WFC
এর বাইরেও বাংলাদেশ ফুড সেফটি অথরিটিকে (বিএফএসএ) আরও শক্তিশালী করতে হবে,0,NC
এক পয়সা জালিয়াতি করলেও তার শক্ত বিচার করতে হবে,0,NC
এই চুরি হওয়া গ্যাস দিয়ে কমপক্ষে ৫০০ মেগাওয়াট বিদ্যুৎ উৎপাদন সম্ভব,1,WFC
তবে অনেকে প্রধানমন্ত্রী বিক্রমাসিংহের ক্ষমতাচ্যুতিও দাবি করেছিলেন,1,WFC
২০০৬ সালে দারিদ্র্যের হার ছিল ৪১.৫ শতাংশ এবং উচ্চ দারিদ্র্যের হার ছিল ২৪.২৩ শতাংশ,2,CWC
তবে আমাদের সবাইকে সাবধান হতে হবে,0,NC
গবেষণায় দেখা গেছে যে আইকিউ সম্পন্ন মানুষ রাতে বেশি সক্রিয় থাকে,0,NC
পর্যটন ও মানবসৃষ্ট কিছু কারণে জলাবনগুলোর ঘনত্ব কমেছে,0,NC
যেখানে একটা দেশের সম্পদ বা GDP হুট করে বেড়ে যায় না,2,CWC
অনিয়ন্ত্রিত গতিই মোটরসাইকেল দুর্ঘটনার প্রধান কারণ,1,WFC
